id,action,owner,date,said_by,status,days_open,flag,record
A-01,Reconcile July CD2 handovers: separate provisional from final (system shows 94%; treat with caution until reconciled),Yusuf,2026-09-04,Yusuf,open,22,,minutes
A-02,Add available-room occupancy to the monthly pack alongside the headline figure,Yusuf,2026-09-18,Layla,open,22,,minutes
A-03,"Spa relaunch brought forward to October (decision struck later in meeting, see A-19)",Priya,2026-10-01,Layla,done,,struck,"DO NOT RECORD — Layla: ""Aisha, strike the October decision, the spa relaunch is Q1, unchanged"""
A-04,Produce venue exhibitor briefing pack for October medical congress (210 exhibitors),unassigned,2026-09-15,James,open,22,,minutes
A-05,Confirm owner for the exhibitor briefing pack,Layla,2026-08-28,Layla,open,22,,minutes
A-06,Meet the traffic consultant and bring an option on east car park use (congress coaches vs leisure park Saturday overflow),James and Noura,2026-09-04,Layla,open,22,,minutes
A-07,Send leisure park traffic plan drawings to James and Noura,Marco,2026-08-28,Layla,open,22,,minutes
A-08,Chase facilities on staff shuttle timetable (08:15 from north gate leaving at 08:10),Noura,2026-09-04,Layla,open,22,,"DO NOT RECORD — Layla: ""I'm not putting any of it in the minutes because none of it's a delivery matter."""
A-09,Chase parking permit renewal system outage,Noura,2026-09-04,Omar,open,22,,"DO NOT RECORD — Layla: ""I'm not putting any of it in the minutes because none of it's a delivery matter."""
A-10,Footnote leisure park reactive maintenance tickets (up 60% due to new CMMS logging everything; like-for-like roughly flat),Yusuf,2026-09-18,Yusuf,open,22,,minutes
A-11,Independent root-cause assessment of chiller three at the wave pool (failed three times since June),unassigned,2026-09-30,Layla,open,22,,minutes
A-12,Speak to procurement to review the M&E contract and chiller three ticket history,Layla,2026-09-04,Layla,open,22,,"internal-only — Layla limited the notes to A-11 only: ""What goes in the notes is that chiller three has recurred three times and the root cause needs an independent assessment. That's it."""
A-13,Noura's view that the M&E contractor is patching rather than replacing chiller three to protect its maintenance-contract margin,n/a,,Noura,done,,not an action,"DO NOT RECORD — Layla: ""Aisha, that last part does not go in the notes. Not the bit about the contractor's motive."""
A-14,"Trial a weekday corporate package at the adventure centre, three months, marketing spend about 40,000 (within Noura's discretionary; noted, not a group decision)",Noura,2026-10-01,Noura,open,22,,minutes
A-15,Half-year group results figure (Daniel began to state it; no figure was spoken),n/a,2026-09-03,Daniel,done,,not an action,"DO NOT RECORD — Hana: ""The number cannot appear in any written note, internal or external, until it's announced."""
A-16,Segment heads to be available for investor call questions on their segments after the half-year announcement,"Omar, Priya, James, Noura",2026-09-03,Daniel,open,22,,minutes
A-17,Circulate investor Q&A prep,Hana,2026-08-31,Layla,open,22,,minutes
A-18,"Tell Hana anything in your segment an analyst might ask about, before the Q&A prep goes out","Omar, Priya, James, Noura",2026-08-28,Hana,open,22,,minutes
A-19,"Decision: spa relaunch stays in Q1 as planned (relaunch budget 420,000 phased in Q1)",n/a (decision),2027-01-01,Layla,done,,decision,minutes
A-20,Fix spa booking confirmation system setting (Marco to change it),Priya,2026-08-28,Priya,open,22,,minutes
A-21,Move a staff member from the island resort to desert resort spa reception for the refurb period,Priya,2026-09-04,Priya,open,22,,minutes
A-22,Remove October spa relaunch from the investor narrative; replace with Q1,Hana,2026-09-02,Layla,open,22,,minutes
A-23,Send draft formal response to CD2 contractor delay and disruption claim (claim value 2.4 million) to Legal,Omar,2026-09-04,Layla,open,22,,minutes
A-24,Issue formal response to CD2 contractor claim (28 days from receipt),Omar,2026-09-11,Layla,open,22,,minutes
A-25,"Send draft minutes to Layla first, not to the group",Aisha,2026-08-27,Layla,open,22,,minutes
A-26,Check and release minutes to the group,Layla,2026-08-28,Layla,open,22,,minutes
